GT,LNF_code,raw_DE,raw_ENG,1st_tier,2nd_tier,3rd_tier,4th_tier_ENG,categories2024,Pixel Value, Count,match
51,569,"Mischungen von Ackerbohnen, Eiweisserbsen und Lupinen zu Futterzwecken mit Getreide, mindestens 30% Anteil Leguminosen bei der Ernte","Mixtures of field beans, protein peas and lupines for animal feed with cereals, at least 30% legume content at harvest",Vegetation,Field crops,CropMix,MixedCrop,Mixed crop,569,82556,TRUE
52,572,Blühstreifen für Bestäuber und andere Nützlinge,Bloom strips for pollinators and other beneficials,Vegetation,Grassland,BiodiversityArea,Biodiversity encouragement area,Flowerstrips,572,25579,TRUE
53,573,Senf,mustard,Vegetation,Field crops,BroadLeafRowCrop,Mustard,Mustard,573,3497,TRUE
54,574,Quinoa,Quinoa,Vegetation,Field crops,,,,574,4086,TRUE
55,575,Hanf zur Nutzung der Samen,Hemp,Vegetation,Field crops,,,Hemp,575,5231,TRUE
56,576,Hanf zur Fasernutzung,Hemp,Vegetation,Field crops,,,Hemp,576,131,TRUE
57,577,Anderer Hanf,Hemp,Vegetation,Field crops,,,Hemp,577,4031,TRUE
58,591,Winterraps als nachwachsender Rohstoff,Winter rape as a renewable raw material,Vegetation,Field crops,BroadLeafRowCrop,WinterRapeseed,Winter Rapeseed,591,15218,TRUE
59,592,Sonnenblumen als nachwachsender Rohstoff,Sunflowers as regrowing ressource,Vegetation,Field crops,BroadLeafRowCrop,Sunflowers,Sunflowers,592,4223,TRUE
60,594,"Offene Ackerfläche, beitragsberechtigt (regionsspezifische Biodiversitätsförderfläche)","open arable land, eligible for subsidies (region-specific biodiversity area)",Bare soil,,,,Fallow,594,1850,TRUE
61,595,"Übrige offene Ackerfläche, nicht beitragsberechtigt (regionsspezifische Biodiversitätsförderfläche)","Other open arable land, not eligible",Bare soil,,,,Fallow,595,213,TRUE
62,597,"Übrige offene Ackerfläche, beitragsberechtigt","Other open arable land, eligible",Bare soil,,,,Fallow,597,41281,TRUE
63,598,"Übrige offene Ackerfläche, nicht beitragsberechtigt","Other open arable land, not eligible",Bare soil,,,,Fallow,598,27415,TRUE
64,601,Kunstwiesen (ohne Weiden),Art meadows (without pastures),Vegetation,Grassland,Meadow,Meadow,Meadow,601,11884868,TRUE
65,602,"Übrige Kunstwiese, beitragsberechtigt (z.B. Schweineweide, Geflügelweide)","Other artificial meadow, eligible (eg pork pasture, poultry pasture)",Vegetation,Grassland,Meadow,Meadow,Meadow,602,63868,TRUE
66,611,Extensiv genutzte Wiesen (ohne Weiden),Extensively used meadows (without pastures),Vegetation,Grassland,Meadow,Meadow,Meadow extensiv,611,8750971,TRUE
67,612,Wenig intensiv genutzte Wiesen (ohne Weiden),Little intensively used meadows (without pastures),Vegetation,Grassland,Meadow,Meadow,Meadow extensiv,612,1488631,TRUE
68,613,Übrige Dauerwiesen (ohne Weiden),Other permanent pastures (without pastures),Vegetation,Grassland,Meadow,Meadow,Meadow permanent,613,35089406,TRUE
69,616,"Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden)","Pastures (pastures, other pastures without summer pastures)",Vegetation,Grassland,Pasture,Pasture,Pasture,616,9344713,TRUE
70,617,Extensiv genutzte Weiden,Extensively used pastures,Vegetation,Grassland,Pasture,Pasture,Pasture extensiv,617,4787847,TRUE
71,618,Waldweiden (ohne bewaldete Fläche),Forest pastures (without wooded area),Vegetation,Grassland,Pasture,Pasture,Pasture,618,688124,TRUE
72,621,"Heuwiesen im Sömmerungsgebiet, Übrige Wiesen","Hay meadows in the summering area, other meadows",Vegetation,Grassland,Meadow,Meadow,Summering Meadow,621,91808,TRUE
73,622,"Heuwiesen im Sömmerungsgebiet, Typ extensiv genutzte Wiese","Hay meadows in the summering area, type extensively used meadow",Vegetation,Grassland,Meadow,Meadow,Summering Meadow Extensive,622,94995,TRUE
74,623,"Heuwiesen im Sömmerungsgebiet, Typ wenig intensiv genutzte Wiese","Hay meadows in the summering area, type extensively used meadow",Vegetation,Grassland,Meadow,Meadow,Summering Meadow Extensive,623,30841,TRUE
75,625,Waldweiden (ohne bewaldete Fläche),Forest pastures (without wooded area),Vegetation,Grassland,Pasture,Pasture,Forest Pasture,625,320403,TRUE
76,631,Futterleguminosen für die Samenproduktion (Vertragsanbau),fodder legumes (Fabaceae) for seed production (by contract),Vegetation,Field crops,BroadLeafRowCrop,Legumes,Legumes,631,25757,TRUE
77,632,Futtergräser für die Samenproduktion (Vertragsanbau),fodder grasses for seed production (by contract),Vegetation,Grassland,,,,632,21085,TRUE
78,634,Uferwiesen entlang von Fliessgewässern (ohne Weiden),Riverside meadows along rivers (without pastures),Vegetation,Grassland,Meadow,Meadow,Riverside meadows,634,17574,TRUE
79,660,"Übrige Dauerweiden, beitragsberechtigt aggregiert",,,,,,Pasture,660,8,TRUE
80,693,Regionsspezifische Biodiversitätsförderflächen (Weiden),,,,,,Biodiversity promotion area,693,2524,TRUE
81,694,Regionsspezifische Biodiversitätsförderfläche (Grünflächen ohne Weiden),,,,,,Biodiversity promotion area,694,339877,TRUE
82,697,"Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt","Other green area (permanent green area), entitled to contributions",Vegetation,Grassland,BiodiversityArea,,Permanent green area other,697,25438,TRUE
83,698,"Übrige Grünfläche (Dauergrünflächen), nicht beitragsberechtigt","Remaining green area (permanent green areas), not eligible",Vegetation,Grassland,,,Permanent green area other,698,64942,TRUE
84,701,Reben,vines,Vegetation,Orchards,OrchardCrop,Vines,Vines,701,796735,TRUE
85,702,Obstanlagen (Äpfel),Fruit plants (apples),Vegetation,Orchards,OrchardCrop,Apples,Apples,702,361513,TRUE
86,703,Obstanlagen (Birnen),Fruit plants (pears),Vegetation,Orchards,OrchardCrop,Pears,Pears,703,74016,TRUE
87,704,Obstanlagen (Steinobst),Fruit plants (Steinobs),Vegetation,Orchards,OrchardCrop,StoneFruit,StoneFruit,704,151695,TRUE
88,705,Mehrjährige Beeren,Perennial berries,Vegetation,Special crops,Berries,Berries,Berries,705,58225,TRUE
89,706,Mehrjährige Gewürz- und Medizinalpflanzen,Perennial spice and medicinal plants,Vegetation,Special crops,,,,706,16681,TRUE
90,707,"Mehrjährige nachwachsende Rohstoffe (Chinaschilf, usw.)","Perennial renewable resources (miscanthus, etc.)",Vegetation,Special crops,,,,707,5195,TRUE
91,708,Hopfen,hop,Vegetation,Orchards,OrchardCrop,Hops,Hops,708,1653,TRUE
92,709,Rhabarber,rhubarb,Vegetation,Special crops,,,,709,7691,TRUE
93,710,Spargel,asparagus,Vegetation,Special crops,,,Asparagus,710,37968,TRUE
94,711,Pilze (Freiland),mushrooms (field-grown),,,,,,711,11,TRUE
95,712,Christbäume,Christmas trees,Vegetation,Orchards,TreeCrop,TreeCrop,Tree Crop,712,55142,TRUE
96,713,Baumschule von Forstpflanzen ausserhalb der Forstzone,Nursery of forest plants outside the forest zone,Vegetation,Orchards,TreeCrop,TreeCrop,Tree Crop,713,5146,TRUE
97,714,"Ziersträucher, Ziergehölze und Zierstauden","Ornamental shrubs, ornamental shrubs and ornamental shrubs",Vegetation,Special crops,,,,714,14572,TRUE
98,715,"Übrige Baumschulen (Rosen, Früchte, usw.)","Other nurseries (roses, fruits, etc.)",Vegetation,Special crops,,,,715,29927,TRUE
99,717,Rebflächen mit natürlicher Artenvielfalt,Vineyards with natural biodiversity,Vegetation,Orchards,OrchardCrop,Vines,Vines,717,416672,TRUE
100,718,Trüffelanlagen,Truffle plants (in production),Vegetation,Special crops,,,,718,3700,TRUE
101,719,Maulbeerbaumanlagen (Fütterung Seidenraupen),Mulberry trees (feeding silkworms),Vegetation,Special crops,,,,719,62,TRUE
102,720,Gepflegte Selven (Kastanienbäume),Cultivated selven (chestnut trees),Vegetation,Orchards,OrchardCrop,Chestnut,Chestnut,720,37517,TRUE
103,721,Mehrjährige gärtnerische Freilandkulturen (nicht im Gewächshaus),Perennial horticultural outdoor crops (not in the greenhouse),Vegetation,Special crops,,,Gardens,721,1687,TRUE
104,722,Baumschulen von Reben,vines nursery,Vegetation,Orchards,OrchardCrop,Vines,Vines,722,2708,TRUE
105,725,Permakultur,Permaculture,Vegetation,,,,Permaculture,725,7931,TRUE
106,730,Obstanlagen aggregiert,Fruit plantations aggregated,,,,,Orchards other,730,24,TRUE
107,731,"Andere Obstanlagen (Kiwis, Holunder usw.)","Other fruit plants (kiwis, elderberries, etc.)",Vegetation,Special crops,,,Orchards other,731,13368,TRUE
108,735,Reben (regionsspezifische Biodiversitätsförderflächen),vines (region-specific biodiversity area),Vegetation,Orchards,OrchardCrop,Vines,Vines,735,2675,TRUE
109,750,"Übrige Dauerkulturen, beitragsberechtigt, aggregiert",,,,,,,750,4,TRUE
110,797,"Übrige Flächen mit Dauerkulturen, beitragsberechtigt","Other areas with permanent crops, eligible",Vegetation,Special crops,BiodiversityArea,,,797,7026,TRUE
111,798,"Übrige Flächen mit Dauerkulturen, nicht beitragsberechtigt","Other areas with permanent crops, not eligible",Vegetation,Special crops,,,,798,998,TRUE
112,801,Gemüsekulturen in Gewächshäusern mit festem Fundament,Vegetable crops in greenhouses with solid foundations,Infrastructure,,Greenhouse,Vegetables,Greenhouses,801,19280,TRUE
113,802,Übrige Spezialkulturen in Gewächshäusern mit festem Fundament,Other specialized crops in greenhouses with solid foundations,Infrastructure,,Greenhouse,Special cultures,Greenhouses,802,1498,TRUE
114,803,Greenhouses,Horticultural crops in greenhouses with solid foundations,Infrastructure,,Greenhouse,Special cultures,Greenhouses,803,3648,TRUE
115,806,Gemüsekulturen in geschütztem Anbau ohne festes Fundament,Vegetable crops in protected cultivation without firm foundations,,,ProtectedCultivation,Vegetables,Vegetables,806,18496,TRUE
116,807,Übrige Spezialkulturen in geschütztem Anbau ohne festes Fundament,Other special crops in protected cultivation without firm foundations,,,ProtectedCultivation,Special cultures,Special cultures,807,5310,TRUE
117,808,Gärtnerische Kulturen in geschütztem Anbau ohne festes Fundament,Horticultural crops in protected cultivation without firm foundations,,,ProtectedCultivation,Special cultures,Special cultures,808,2941,TRUE
118,810,Pilze in geschütztem Anbau mit festem Fundament,Pilze in geschütztem Anbau mit festem Fundament,,,,,Greenhause,810,9,TRUE
119,830,"Kulturen in ganzjährig geschütztem Anbau, beitragsberechtigt aggregiert",,,,,,Greenhouse,830,335,TRUE
120,847,"Übrige Kulturen in geschütztem Anbau ohne festes Fundament, beitragsberechtigt",Other crops in protected cultivation without a firm foundation,,,ProtectedCultivation,Special cultures,Special cultures,847,266,TRUE
121,848,Übrige Kulturen in geschütztem Anbau mit festem Fundament,other cultures in protected cultivation with solid foundation),Infrastructure,,,,,848,523,TRUE
122,849,"Übrige Kulturen in geschütztem Anbau ohne festes Fundament, nicht beitragsberechtigt","Other crops in protected cultivation without firm foundations, not eligible",,,ProtectedCultivation,Special cultures,Special cultures,849,189,TRUE
123,851,Streueflächen in der LN,Scattering areas in the LN,Vegetation,Special crops,,,,851,841349,TRUE
124,852,"Hecken-, Feld- und Ufergehölze (mit Krautsaum)","Hedge, field and bank shrubs (with herbaceous area)",Vegetation,Special crops,Hedge,Hedge,Hedge,852,470808,TRUE
125,857,"Hecken-, Feld- und Ufergehölze (mit Pufferstreifen)","Hedgerow, field and bank shrubs (with buffer strips)",Vegetation,Special crops,Hedge,Hedge,Hedge,857,83671,TRUE
126,858,"Hecken-, Feld- und Ufergehölze (mit Pufferstreifen) (regionsspezifische Biodiversitätsförderfläche)","Hedgerow, field and bank shrubs (with buffer strips) (region-specific biodiversity production area)",Vegetation,Special crops,Hedge,Hedge,Hedge,858,6194,TRUE
127,897,"Übrige Flächen innerhalb der LN, beitragsberechtigt","Other areas within the LN, entitled to contribute",Undefined,,,Multiple,,897,7567,TRUE
128,898,"Übrige Flächen innerhalb der LN, nicht beitragsberechtigt","Other areas within the LN, not eligible",Undefined,,,Multiple,,898,97310,TRUE
129,901,Wald,Forest,Vegetation,Forest,Forest,Forest,Forest,901,2386853,TRUE
130,902,"Übrige unproduktive Flächen (z.B. gemulchte Flächen, stark verunkrautete Flächen, Hecken ohne Pufferstreifen)","Other unproductive areas (eg mulched areas, heavily weedy areas, hedges without buffer strips)",Vegetation,Special crops,Multiple,Multiple,,902,5718895,TRUE
131,903,"Flächen ohne landwirtschaftliche Hauptzweckbestimmung (erschlossenes Bauland, Spiel-, Reit-, Camping-, Golf-, Flug- und Militärplätze oder ausgemarchte Bereiche von Eisenbahnen, öffentlichen Strassen und Gewässern)","Areas without main agricultural purpose (developed building land, playground, riding, camping, golf, air and military spaces",Undefined,,Undefined,Non agriculture,Non agriculture,903,78256,TRUE
132,904,"Wassergräben, Tümpel, Teiche","Ditches, ponds, ponds",Undefined,,,Waters,Waters,904,17130,TRUE
133,905,"Ruderalflächen, Steinhaufen und -wälle","Ruderal areas, cairns and ramparts",Infrastructure,,,Non agriculture,Non agriculture,905,5248,TRUE
134,906,Trockenmauern,dry stone walls,Infrastructure,,,Multiple,Walls,906,784,TRUE
135,907,"Unbefestigte, natürliche Wege","non-asphalted, natural paths",Bare soil,,,,Paths natural,907,10534,TRUE
136,908,Regionsspezifische Biodiversitätsförderflächen,Region-specific biodiversity promotion areas,Vegetation,Grassland,BiodiversityArea,Biodiversity encouragement area,Biodiversity promotion area,908,9678,TRUE
137,909,Hausgärten,home gardens,Vegetation,Special crops,Gardens,Gardens,Gardens,909,9819,TRUE
138,911,"Landwirtschaftliche Produktion in Gebäuden (z. B. Champignon, Brüsseler)","agricultural production in buildings (e.g. champignons, brussel sprouts)",Infrastructure,,,,,911,300,TRUE
139,930,Sömmerungsweiden,Summer pastures,Vegetation,Grassland,Pasture,Pasture,Summering Pasture,930,33352007,TRUE
140,933,Gemeinschaftsweiden,,,,,,Pasture,933,182521,TRUE
141,935,Heuwiesen mit Zufütterung während der Sömmerung,,,,,,Meadow,935,3058,TRUE
142,936,Streueflächen im Sömmerungsgebiet,,,,,,Meadow,936,29819,TRUE
143,998,Übrige Flächen ausserhalb der LN und SF,Other areas outside the LN and SF,Undefined,,Undefined,Non agriculture,Non agriculture,998,88951,TRUE
